NU_INSCRICAO,CO_ESCOLA,NU_ACERTOS_CH,NU_ACERTOS_CN,NU_ACERTOS_LC,NU_ACERTOS_MT
170005541819,35134806,28,28,40,33
170003822898,35134806,28,24,36,18
170003823346,35563006,26,32,36,15
170005551606,35134806,25,16,26,35
170005533596,35134806,21,17,31,18
170005543120,35134806,26,29,32,15
170005537058,35286187,22,39,32,17
170003821184,35134806,25,19,33,32
170002180235,35134806,30,17,30,34
170002183560,35286187,29,13,31,16
170003855059,35134806,36,22,35,28
170003852408,35134806,26,20,33,23
170003859850,35563006,29,27,34,18
170003852725,35134806,25,19,23,26
170003859888,35286187,33,24,33,38
170003865974,35134806,30,31,26,23
170003856867,35134806,26,18,27,18
170003866730,35134806,34,25,31,25
170003856286,35134806,30,32,34,25
170005574804,35134806,22,17,34,22
170005566587,35134806,30,16,35,25
170003847304,35134806,33,35,32,23
170005575687,35134806,30,23,33,25
170005576022,35286187,21,21,26,20
170003842576,35286187,22,24,29,20
170005552606,35134806,28,24,29,24
170000523308,35134806,29,24,31,20
170002217779,35563006,28,22,34,28
170002216190,35134806,31,19,27,28
170000539268,35134806,28,21,30,25
170002213979,35134806,27,20,28,40
170003868569,35134806,29,30,26,32
170002205158,35134806,7,27,31,24
170002196115,35286187,20,19,18,32
170000543210,35286187,25,38,21,28
170003891812,35134806,24,33,33,25
170003894915,35286187,30,24,30,20
170005609626,35134806,32,21,30,14
170002221552,35286187,29,22,29,23
170003977513,35286187,30,19,30,24
170003980900,35134806,23,26,30,34
170003965865,35134806,32,23,31,21
170005657655,35134806,24,18,26,21
170003963516,35563006,35,26,38,29
170003966278,35134806,26,31,29,30
170003964923,35134806,32,20,36,23
170003966702,35134806,30,28,27,36
170005662148,35134806,33,20,33,28
170005652413,35134806,32,19,33,29
170003957530,35563006,33,26,34,31
170005667896,35134806,32,27,30,40
170000626261,35563006,24,28,30,20
170002304226,35134806,24,37,34,21
170002304278,35134806,30,19,30,27
170000634064,35286187,26,19,35,35
170000637842,35134806,20,29,28,18
170005663213,35134806,19,38,26,19
170000636517,35286187,27,17,32,26
170000629052,35286187,29,22,34,27
170000634254,35286187,25,21,34,24
170000637183,35563006,26,32,24,31
170005691155,35134806,22,22,31,26
170005686496,35286187,28,23,31,35
170005698726,35134806,28,22,27,28
170005675816,35134806,29,22,31,24
170005691526,35286187,35,19,34,19
170002311750,35134806,37,22,32,23
170000646538,35134806,29,26,38,29
170000651635,35134806,25,28,29,21
170000646132,35286187,29,25,34,28
170000658758,35134806,38,32,33,13
170000641940,35286187,23,31,36,27
170000640435,35134806,27,22,32,24
170000619653,35286187,38,13,27,12
170002318689,35134806,28,19,27,23
170002300815,35134806,26,21,40,30
170005677949,35134806,34,23,27,16
170000654447,35134806,25,24,25,15
170000650661,35563006,23,29,37,28
170000656363,35134806,27,22,33,15
170005679760,35134806,27,22,24,35
170002332540,35134806,26,14,36,22
170002333132,35286187,32,23,33,26
170002336274,35134806,31,25,33,19
170002337535,35286187,26,14,34,14
170003996375,35286187,30,18,33,35
170003999058,35134806,26,20,34,28
170004022495,35134806,25,32,30,39
170004000988,35134806,29,20,26,25
170003992018,35134806,31,28,29,20
170000673097,35286187,28,23,32,24
170000670701,35134806,26,14,30,17
170000666420,35134806,15,19,35,37
170000673270,35134806,23,21,19,15
170004022557,35286187,29,35,28,27
170004006326,35134806,21,16,32,29
170004024413,35286187,29,23,30,27
170004012062,35134806,27,18,31,14
170004014670,35134806,32,35,34,19
170004033222,35134806,19,27,25,22
170002362593,35134806,28,32,33,21
170004016551,35134806,27,30,26,31
170004032028,35134806,28,22,30,26
170004030598,35563006,36,14,36,34
170004010347,35134806,14,25,21,27
170002362761,35286187,34,23,28,28
170002353934,35134806,30,23,27,22
170003990765,35286187,27,36,31,22
170002351082,35134806,32,26,32,35
170002346301,35286187,34,23,33,21
170005735581,35134806,33,19,30,38
170005732762,35134806,38,25,35,29
170002357485,35134806,35,14,34,24
170005737715,35134806,23,39,34,41
170005736961,35286187,30,30,30,37
170005728360,35134806,30,32,33,24
170005743729,35134806,29,37,33,26
170005728432,35134806,30,30,28,27
170005729972,35286187,29,21,35,31
170000664880,35134806,32,24,42,39
170002348463,35563006,29,24,35,12
170005725574,35134806,12,20,20,36
170000668115,35286187,27,25,30,27
170002351671,35134806,31,33,28,28
170005728973,35134806,27,25,29,35
170002355032,35134806,25,33,36,36
170002358111,35134806,31,29,36,22
170002355190,35134806,30,24,36,17
170002345991,35134806,32,17,39,22
170000678193,35134806,27,30,29,27
170004044929,35134806,28,29,32,32
170000703293,35134806,26,22,34,28
170004040323,35134806,29,15,30,28
170004041844,35134806,35,31,36,28
170004038855,35134806,35,31,34,17
170004050551,35134806,30,27,32,30
170002390024,35563006,31,28,29,21
170000718822,35134806,32,24,32,12
170002380794,35134806,22,27,33,34
170000712363,35134806,25,19,26,15
170000729299,35286187,25,15,30,33
170002368906,35286187,24,22,29,33
170000701284,35134806,24,24,32,27
170000703863,35286187,20,14,28,25
170002375205,35286187,33,28,33,22
170000721215,35134806,32,16,37,22
170002372255,35134806,23,28,36,22
170004058158,35134806,24,30,27,13
170000735776,35134806,22,21,26,23
170000731331,35286187,32,19,31,20
170000711326,35286187,39,24,37,19
170000710589,35134806,22,23,25,25
170005765152,35134806,21,19,21,23
170000716352,35134806,29,23,34,27
170005762319,35134806,27,19,30,30
170005762330,35286187,30,22,40,22
170005768601,35134806,34,17,41,16
170000689347,35134806,33,26,32,30
170002382157,35134806,30,23,30,20
170002373772,35286187,30,20,30,34
170000690265,35286187,25,28,33,17
170002392268,35134806,24,30,33,19
170005763072,35286187,29,24,18,25
170002386195,35134806,16,12,33,13
170002377090,35563006,30,24,29,26
170000693589,35286187,23,13,25,20
170002402041,35134806,24,29,37,13
170002405231,35134806,27,9,28,18
170002401257,35286187,18,13,33,25
170002402544,35286187,34,18,37,24
170002395556,35563006,31,12,37,36
170002393083,35563006,33,24,25,19
170002406483,35134806,17,21,30,25
170002393703,35134806,27,23,35,28
170004071077,35134806,30,20,29,20
170004075553,35134806,19,19,30,17
170004072764,35134806,25,27,33,26
170004071122,35134806,29,35,24,30
170004071686,35286187,19,20,32,27
170004071171,35134806,22,19,31,38
170004072588,35134806,28,21,37,19
170004066500,35286187,29,25,33,27
170004074348,35134806,31,17,31,25
170005763865,35134806,28,29,29,39
170005767226,35134806,25,28,32,33
170004041373,35134806,27,28,21,18
170004085240,35134806,17,17,30,20
170004076921,35286187,31,19,30,29
170004079557,35134806,26,17,30,32
170004085259,35563006,29,24,21,23
170005749350,35134806,12,21,27,32
170002413581,35134806,25,22,21,29
170002395079,35134806,32,23,33,23
170002408042,35134806,19,24,31,27
170002413686,35134806,33,23,35,29
170002410684,35134806,23,28,21,29
170002416861,35134806,31,32,21,37
170002410769,35134806,23,18,39,17
170004083860,35134806,21,19,38,32
170004065353,35134806,38,17,25,34
170004085678,35563006,33,21,26,22
170004078204,35134806,25,29,31,20
170004086175,35134806,26,35,32,26
170002412644,35563006,28,25,34,16
170002398832,35134806,30,32,33,24
170002415946,35286187,31,26,23,11
170005784497,35563006,33,29,31,28
170005784587,35134806,23,21,31,35
170000737270,35563006,29,29,35,9
170000744891,35134806,34,11,28,18
170000746160,35134806,27,28,27,28
170000746167,35134806,23,10,29,22
170000747731,35134806,29,31,27,8
170000749266,35134806,31,28,29,34
170005784859,35134806,22,24,33,29
170005789354,35286187,24,13,33,26
170005773950,35563006,24,21,34,24
170005781370,35134806,29,26,24,18
170005783455,35134806,37,17,28,27
170000743579,35286187,23,11,17,22
170000744187,35134806,31,26,32,25
170005795983,35134806,23,21,29,11
170005788991,35134806,23,28,35,22
170000738587,35134806,27,19,35,19
170000748210,35286187,25,29,37,32
170005784620,35286187,27,24,29,32
170005785747,35134806,32,26,33,19
170000748646,35134806,31,21,33,17
170000751873,35134806,28,15,35,14
170000756035,35134806,27,16,30,20
170000760714,35134806,22,19,29,35
170000756347,35134806,25,26,19,32
170000757902,35286187,30,33,30,37
170005786798,35134806,9,18,22,20
170005790017,35286187,24,29,32,27
170005790316,35134806,18,18,31,27
170004103891,35286187,31,24,32,30
170005803907,35563006,33,22,25,24
170002439113,35286187,34,26,25,32
170000784748,35134806,25,23,34,26
170005819895,35134806,23,38,26,25
170002454076,35134806,25,19,23,34
170000807970,35134806,16,22,26,17
170005846431,35286187,29,25,35,37
170002487344,35134806,24,23,30,21
170004175887,35563006,31,29,24,26
170004195235,35286187,32,29,35,20
170002469104,35134806,32,25,31,22
170000824895,35134806,33,26,35,20
170004198535,35134806,35,23,27,21
170005896047,35134806,25,33,37,20
170004183911,35286187,23,31,34,10
170002507345,35134806,27,15,31,30
170002498319,35286187,22,17,27,23
170000830832,35563006,20,15,29,27
170005890754,35563006,24,18,26,15
170005851658,35563006,31,17,37,13
170002531463,35286187,38,22,29,25
170004160207,35134806,27,31,17,21
170004184209,35134806,30,27,30,17
170004207589,35563006,34,32,28,12
170004158025,35134806,33,18,28,39
170004165906,35134806,26,15,30,37
170004220514,35286187,31,28,32,37
170000812211,35286187,33,17,30,18
170004184784,35134806,33,22,28,22
170005861270,35286187,21,15,24,17
170005849199,35134806,22,33,29,25
170000836269,35134806,25,26,27,31
170002502521,35134806,25,23,31,23
170000851521,35134806,30,25,31,32
170004205252,35134806,31,19,30,41
170000865400,35286187,31,20,29,20
170000831102,35286187,33,12,29,19
170004221248,35286187,22,34,24,22
170002538764,35563006,18,23,37,11
170005914752,35134806,27,36,25,33
170004207737,35134806,29,27,25,29
170005850095,35134806,25,17,21,20
170004142572,35134806,24,29,31,26
170004139623,35134806,27,40,28,17
170004186537,35134806,30,16,29,19
170000901861,35134806,27,17,30,26
170005900277,35134806,21,27,29,25
170005938314,35286187,29,21,32,16
170005918956,35286187,29,17,31,19
170000911019,35286187,26,10,33,21
170000905822,35134806,28,17,22,24
170002582723,35134806,22,24,28,16
170002589747,35134806,17,14,26,18
170000912687,35286187,28,13,33,25
170000885388,35134806,18,27,28,29
170002639206,35134806,29,19,38,18
170004310564,35134806,23,32,34,21
170006026747,35286187,28,15,33,32
170004331220,35286187,31,18,34,22
170000948878,35286187,29,14,26,18
170004345353,35134806,32,13,27,25
170005947980,35134806,20,19,34,31
170004280501,35563006,30,26,39,32
170006056314,35134806,22,23,34,26
170004371300,35134806,35,27,29,17
170002620840,35134806,25,29,36,32
170002623947,35286187,33,20,26,27
170002707240,35563006,34,17,31,19
170001042124,35134806,26,29,31,15
170001059323,35134806,27,21,24,17
170006094887,35286187,25,17,34,37
170002750589,35134806,33,13,27,38
170001059528,35134806,32,20,35,28
170001065734,35134806,26,20,34,14
170005983239,35134806,36,29,37,14
170004415806,35134806,30,35,30,28
170006124791,35286187,40,39,27,28
170006128269,35134806,20,28,33,24
170006110843,35134806,23,14,20,18
170001066120,35134806,32,20,32,14
170001054133,35134806,21,19,27,19
170006119564,35134806,25,24,27,33
170001060125,35286187,25,23,30,25
170004381376,35563006,18,24,29,18
170001054209,35286187,34,17,27,21
170002683161,35134806,24,11,27,39
170006103052,35134806,18,21,23,23
170002962925,35286187,24,33,34,30
170006020431,35563006,30,22,19,26
170000994542,35134806,13,20,29,25
170005981300,35134806,24,15,21,23
170002694553,35286187,22,36,30,20
170002679454,35563006,28,16,27,23
170006069104,35134806,27,29,36,24
170005982352,35134806,27,20,36,17
170005992184,35134806,28,17,37,14
170001064295,35134806,33,18,30,42
170001145103,35134806,27,13,36,21
170006115692,35134806,32,19,32,44
170002741131,35134806,27,22,15,40
170004448434,35134806,17,20,24,16
