NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
150003918709,35134806,642.9,27,629.4,23,649,36,711.9,23
150003955520,35134806,706.4,34,586.5,19,555.5,24,606.4,16
150003933076,35286187,610.4,23,629.7,23,459.1,14,747.1,26
150003972920,35286187,681.5,33,591.8,20,665.7,36,600.6,16
150003987102,35286187,665.4,31,593,21,550.7,24,670,18
150003958777,35134806,732.4,39,609.6,20,629.1,31,698.3,20
150004001120,35134806,679.3,34,584.3,18,560.8,23,742.6,25
150004010611,35134806,504.5,17,724.6,37,587.5,27,684.5,22
150004111224,35134806,715.5,38,690.8,31,603.1,27,764,25
150004223349,35286187,639.6,27,650.8,24,689.4,37,651,18
150004278409,35134806,669.1,31,679.5,28,711,37,802.9,30
150004334421,35134806,657.4,31,672.8,26,584.6,28,723.1,25
150004374157,35286187,604.3,22,619.1,24,722.4,38,585.8,17
150004287356,35134806,622,22,576.5,18,611.7,29,782.6,27
150004332948,35134806,753.1,40,626.3,22,636.9,32,520.8,14
150004382314,35134806,709,37,789.6,40,500.4,18,756.3,26
150004326986,35286187,693.8,36,765.4,38,637.8,33,782.8,29
150004339194,35286187,668.2,33,757.6,38,671.8,35,833.1,31
150004344068,35134806,679.9,32,710,32,545.7,23,756,28
150004341493,35134806,669.2,33,651.3,25,619.5,29,918.1,37
150004418398,35134806,679.8,34,690.2,29,561.3,25,469,15
150004423009,35134806,705.4,38,642.4,24,606.2,30,677,21
150004375196,35563006,722.1,39,736.5,32,578.5,24,491.9,10
150004376911,35134806,618.9,24,809.7,43,635.8,33,695,21
150004420817,35134806,727.2,38,643.7,22,611.4,29,549.5,13
150004420878,35286187,678.2,33,604.8,21,704.1,38,816.6,34
150004446490,35134806,708,37,608.9,21,662.7,34,710.6,26
150004487529,35286187,679,30,691.3,30,623.1,32,748,24
150004474685,35134806,615.1,24,601.5,19,624.2,31,691.4,21
150004499654,35134806,679.8,34,567.4,21,599.2,30,719.2,22
150004459739,35286187,723.8,38,622,22,649.9,35,815.4,30
150004493845,35286187,673.1,30,550.5,16,588.1,27,729.6,23
150004491430,35286187,659.8,31,594.7,19,592.6,26,692.2,21
150004499911,35134806,617.8,23,665.3,27,656.3,33,702.6,24
150004487278,35134806,690.9,34,657,26,625.5,32,704.3,22
150004468532,35134806,646.2,30,671.2,28,593.9,27,746.3,26
150004505252,35134806,607.7,24,642.7,24,607.8,31,755.5,26
150004480288,35286187,659,30,583.2,19,636.4,33,836.6,31
150004483086,35286187,706.3,36,649.7,24,661.7,34,576.9,17
150004553855,35134806,591.3,20,643.4,24,655.5,34,692.7,20
150004720625,35134806,621,26,546.3,17,585,29,550.8,12
150004559601,35286187,696.7,34,679.1,28,583.2,28,812.4,31
150004594730,35134806,678.8,34,672.9,28,564.5,23,667.7,18
150004594928,35286187,688.5,33,733.8,35,606.4,29,760.5,28
150004748114,35286187,705.7,35,587.7,21,585.3,28,642.9,20
150005029594,35286187,622.4,25,736.8,37,557.1,24,634.8,17
150004889078,35134806,641.1,27,657,26,615.1,29,645.6,18
150004958833,35134806,644.2,28,688.7,28,644.7,32,742.3,26
150004964225,35286187,671.3,32,492.5,12,423.2,9,674.5,20
150005067213,35134806,639.2,25,606.8,20,717,38,622,16
150005099172,35134806,684,34,413.9,12,656.7,34,812.1,30
150005084168,35134806,639.7,30,706.7,30,613.1,31,902.5,35
150005050304,35286187,634.1,26,607.5,18,581.5,28,800.2,31
150005135961,35134806,704.8,36,615.7,20,625.2,31,597.7,15
150005124919,35134806,634.7,25,631.1,25,624.1,30,670.3,23
150005173965,35134806,693.2,35,547.5,17,679.2,35,638.9,17
150005124189,35134806,611.6,23,621,21,634.7,32,646.9,17
150005168046,35134806,594.8,19,661.1,26,600.3,27,730.2,23
150005204533,35134806,627.1,26,615,21,575.4,23,894.4,36
150005153667,35134806,737.5,39,638.2,22,592.2,27,701.2,23
150005181444,35134806,680.2,34,549.5,15,501.6,17,733.5,22
150005258026,35134806,714.1,36,600.4,18,636.6,34,688.3,23
150005247970,35134806,650.4,28,651.3,26,634.1,31,703.7,21
150005196178,35134806,649.1,30,659.8,27,672.6,35,788,30
150005218895,35134806,570.3,20,610.8,22,581.3,28,603.7,17
150005314527,35134806,670.7,31,627,22,555.2,21,816.4,32
150005228159,35134806,646.1,30,513.8,12,606.4,29,635,17
150005225007,35286187,675.2,31,640.4,25,665.2,35,410.4,8
